id,prolific_id,study_id,session_id,concent_accepted,demo1,demo2,vaiak,vaiak2,questionnaire
63,5aef03893606ab0001b9333f,622b583de6baafcac196edf3,6241bbfa142db5791f2ad3d9,1,"{""rt"":12075,""response"":{""age"":""21"",""nationality"":""slovenian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":37037,""internal_node_id"":""0.0-3.0""}","{""rt"":12290,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":49332,""internal_node_id"":""0.0-4.0""}","{""rt"":17726,""response"":{""VAIAK1"":6,""VAIAK2"":6,""VAIAK3"":6,""VAIAK4"":6,""VAIAK5"":6,""VAIAK6"":6,""VAIAK7"":4},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":67059,""internal_node_id"":""0.0-5.0""}","{""rt"":25645,""response"":{""2VAIAK1"":3,""2VAIAK2"":4,""2VAIAK3"":5,""2VAIAK4"":3},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":92707,""internal_node_id"":""0.0-6.0""}","{""rt"":9600,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":1303088,""internal_node_id"":""0.0-253.0""}"
66,5fe24a84d42dc5d922c4fc90,622b583de6baafcac196edf3,6241bbeb2af2b2904750c4e7,1,"{""rt"":37472.799999952,""response"":{""age"":""22"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":62333,""internal_node_id"":""0.0-3.0""}","{""rt"":8881.7999999523,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":71220,""internal_node_id"":""0.0-4.0""}","{""rt"":30038.899999857,""response"":{""VAIAK1"":5,""VAIAK2"":3,""VAIAK3"":4,""VAIAK4"":4,""VAIAK5"":4,""VAIAK6"":4,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":101272,""internal_node_id"":""0.0-5.0""}","{""rt"":38484,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":4,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":139763,""internal_node_id"":""0.0-6.0""}","{""rt"":15484.100000143,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":3423068,""internal_node_id"":""0.0-253.0""}"
69,60182492f958210009b2837c,622b583de6baafcac196edf3,6241bbe902002730236c1b4d,1,"{""rt"":10181.099999964,""response"":{""age"":""25"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":60306,""internal_node_id"":""0.0-3.0""}","{""rt"":7589,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":67897,""internal_node_id"":""0.0-4.0""}","{""rt"":24306.300000012,""response"":{""VAIAK1"":4,""VAIAK2"":4,""VAIAK3"":5,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":92210,""internal_node_id"":""0.0-5.0""}","{""rt"":30569.199999988,""response"":{""2VAIAK1"":2,""2VAIAK2"":3,""2VAIAK3"":5,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":122785,""internal_node_id"":""0.0-6.0""}","{""rt"":6701.7000000477,""response"":{""imgs_known"":""11-25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":863690,""internal_node_id"":""0.0-243.0""}"
72,61558fcba8a52083225f4d21,622b583de6baafcac196edf3,6241bbb0c801707cabe3ed52,1,"{""rt"":10333.700000048,""response"":{""age"":""24"",""nationality"":""italian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":59558,""internal_node_id"":""0.0-3.0""}","{""rt"":7876.7999999523,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":67437,""internal_node_id"":""0.0-4.0""}","{""rt"":59232.799999952,""response"":{""VAIAK1"":4,""VAIAK2"":2,""VAIAK3"":2,""VAIAK4"":2,""VAIAK5"":1,""VAIAK6"":2,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":126672,""internal_node_id"":""0.0-5.0""}","{""rt"":38279.599999905,""response"":{""2VAIAK1"":1,""2VAIAK2"":0,""2VAIAK3"":1,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":164954,""internal_node_id"":""0.0-6.0""}","{""rt"":3022.7000000477,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":1089860,""internal_node_id"":""0.0-243.0""}"
75,5f24454dca95ac000858bec9,622b583de6baafcac196edf3,6241bbe2194e9c6e04e2127c,1,"{""rt"":15226,""response"":{""age"":""42"",""nationality"":""spanish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":49266,""internal_node_id"":""0.0-3.0""}","{""rt"":7764,""response"":{""demo_gender"":""male"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":57036,""internal_node_id"":""0.0-4.0""}","{""rt"":49446,""response"":{""VAIAK1"":6,""VAIAK2"":5,""VAIAK3"":2,""VAIAK4"":6,""VAIAK5"":5,""VAIAK6"":3,""VAIAK7"":4},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":106491,""internal_node_id"":""0.0-5.0""}","{""rt"":26192,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":4,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":132690,""internal_node_id"":""0.0-6.0""}","{""rt"":11024,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":1014495,""internal_node_id"":""0.0-253.0""}"
78,611d44cef2f22947cd3ccafc,622b583de6baafcac196edf3,6241bbcf5d2903da2ab48ddf,1,"{""rt"":12286.899999976,""response"":{""age"":""22"",""nationality"":""irish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":42767,""internal_node_id"":""0.0-3.0""}","{""rt"":5756.3999999762,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":48535,""internal_node_id"":""0.0-4.0""}","{""rt"":19317.100000024,""response"":{""VAIAK1"":6,""VAIAK2"":4,""VAIAK3"":5,""VAIAK4"":5,""VAIAK5"":3,""VAIAK6"":4,""VAIAK7"":1},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":67863,""internal_node_id"":""0.0-5.0""}","{""rt"":23624.399999976,""response"":{""2VAIAK1"":1,""2VAIAK2"":2,""2VAIAK3"":5,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":91495,""internal_node_id"":""0.0-6.0""}","{""rt"":4736.8000000715,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":919117,""internal_node_id"":""0.0-253.0""}"
81,5fb14a073d81805bc65f6a4f,622b583de6baafcac196edf3,6241bbda17003e5c8c58bad1,1,"{""rt"":15868,""response"":{""age"":""25"",""nationality"":""czech""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":111388,""internal_node_id"":""0.0-3.0""}","{""rt"":29345,""response"":{""demo_gender"":""female"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":140744,""internal_node_id"":""0.0-4.0""}","{""rt"":80924,""response"":{""VAIAK1"":6,""VAIAK2"":2,""VAIAK3"":4,""VAIAK4"":5,""VAIAK5"":4,""VAIAK6"":2,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":221678,""internal_node_id"":""0.0-5.0""}","{""rt"":44362,""response"":{""2VAIAK1"":0,""2VAIAK2"":1,""2VAIAK3"":4,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":266049,""internal_node_id"":""0.0-6.0""}","{""rt"":30078,""response"":{""imgs_known"":""11-25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":4647713,""internal_node_id"":""0.0-253.0""}"
84,600563088f221175cc9eef01,622b583de6baafcac196edf3,6241bbb71e8ea67cbd588ec1,1,"{""rt"":7173.2000000002,""response"":{""age"":""31"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":34544,""internal_node_id"":""0.0-3.0""}","{""rt"":11468.8,""response"":{""demo_gender"":""male"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":46016,""internal_node_id"":""0.0-4.0""}","{""rt"":29699.7,""response"":{""VAIAK1"":6,""VAIAK2"":2,""VAIAK3"":4,""VAIAK4"":4,""VAIAK5"":2,""VAIAK6"":5,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":75720,""internal_node_id"":""0.0-5.0""}","{""rt"":39696,""response"":{""2VAIAK1"":1,""2VAIAK2"":3,""2VAIAK3"":4,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":115421,""internal_node_id"":""0.0-6.0""}","{""rt"":2579.5999999996,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":628672,""internal_node_id"":""0.0-243.0""}"
87,612a98181f4b6d1cf01f926c,622b583de6baafcac196edf3,6241bbc757a88b67a1c95d8a,1,"{""rt"":16409,""response"":{""age"":""21"",""nationality"":""south african""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":233235,""internal_node_id"":""0.0-3.0""}","{""rt"":11027,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":244268,""internal_node_id"":""0.0-4.0""}","{""rt"":50984,""response"":{""VAIAK1"":5,""VAIAK2"":5,""VAIAK3"":5,""VAIAK4"":3,""VAIAK5"":5,""VAIAK6"":3,""VAIAK7"":1},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":295285,""internal_node_id"":""0.0-5.0""}","{""rt"":29408,""response"":{""2VAIAK1"":0,""2VAIAK2"":4,""2VAIAK3"":4,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":324699,""internal_node_id"":""0.0-6.0""}",
90,5fc0e980f17f0a02d5e5ff31,622b583de6baafcac196edf3,6241be778b22a2704d042c83,1,"{""rt"":9471,""response"":{""age"":""25"",""nationality"":""brazilian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":178296,""internal_node_id"":""0.0-3.0""}","{""rt"":13131,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":191429,""internal_node_id"":""0.0-4.0""}","{""rt"":43808,""response"":{""VAIAK1"":2,""VAIAK2"":3,""VAIAK3"":4,""VAIAK4"":3,""VAIAK5"":2,""VAIAK6"":2,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":235241,""internal_node_id"":""0.0-5.0""}","{""rt"":25906,""response"":{""2VAIAK1"":0,""2VAIAK2"":0,""2VAIAK3"":5,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":261150,""internal_node_id"":""0.0-6.0""}","{""rt"":2943,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":936333,""internal_node_id"":""0.0-243.0""}"
93,612364605c7b6d1e7ba7b4f3,622b583de6baafcac196edf3,6241cd56fcce1c780705e0ce,1,"{""rt"":8309.6000003815,""response"":{""age"":""25"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":70328,""internal_node_id"":""0.0-3.0""}","{""rt"":13174.100000381,""response"":{""demo_gender"":""male"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":83504,""internal_node_id"":""0.0-4.0""}","{""rt"":17044.599999428,""response"":{""VAIAK1"":3,""VAIAK2"":4,""VAIAK3"":3,""VAIAK4"":3,""VAIAK5"":3,""VAIAK6"":3,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":100552,""internal_node_id"":""0.0-5.0""}","{""rt"":11291.899999619,""response"":{""2VAIAK1"":1,""2VAIAK2"":1,""2VAIAK3"":2,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":111848,""internal_node_id"":""0.0-6.0""}","{""rt"":3863.3000001907,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":991146,""internal_node_id"":""0.0-243.0""}"
96,5cfddbd3ee0b1500019fa84c,622b583de6baafcac196edf3,6241d0f70710a23c6eb936a2,1,"{""rt"":10019.700000001,""response"":{""age"":""30"",""nationality"":""greek""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":43561,""internal_node_id"":""0.0-3.0""}","{""rt"":6996.8000000007,""response"":{""demo_gender"":""male"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":50560,""internal_node_id"":""0.0-4.0""}","{""rt"":29709.100000001,""response"":{""VAIAK1"":4,""VAIAK2"":3,""VAIAK3"":2,""VAIAK4"":4,""VAIAK5"":3,""VAIAK6"":4,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":80273,""internal_node_id"":""0.0-5.0""}","{""rt"":21148.4,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":3,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":101424,""internal_node_id"":""0.0-6.0""}","{""rt"":3654.3999999985,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":677783,""internal_node_id"":""0.0-243.0""}"
99,5e8783b0fde5153fbd9dca43,622b583de6baafcac196edf3,6241d0f6bcc9c157384d5307,1,"{""rt"":10624.199999988,""response"":{""age"":""23"",""nationality"":""italian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":61817,""internal_node_id"":""0.0-3.0""}","{""rt"":20178.5,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":82016,""internal_node_id"":""0.0-4.0""}","{""rt"":48015.099999964,""response"":{""VAIAK1"":6,""VAIAK2"":5,""VAIAK3"":3,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":6,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":130057,""internal_node_id"":""0.0-5.0""}","{""rt"":29121.900000036,""response"":{""2VAIAK1"":0,""2VAIAK2"":3,""2VAIAK3"":5,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":159201,""internal_node_id"":""0.0-6.0""}","{""rt"":3638.3000000119,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":933496,""internal_node_id"":""0.0-243.0""}"
102,5baf6705848bbd0001d6fc8a,622b583de6baafcac196edf3,6241d0f6db1d4a78a0e0d265,1,"{""rt"":7742.9000000954,""response"":{""age"":""27"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":76963,""internal_node_id"":""0.0-3.0""}","{""rt"":6646.4000000954,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":83628,""internal_node_id"":""0.0-4.0""}","{""rt"":33447,""response"":{""VAIAK1"":3,""VAIAK2"":3,""VAIAK3"":3,""VAIAK4"":4,""VAIAK5"":4,""VAIAK6"":4,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":117091,""internal_node_id"":""0.0-5.0""}","{""rt"":21280.800000191,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":3,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":138384,""internal_node_id"":""0.0-6.0""}","{""rt"":48707.299999952,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":1587492,""internal_node_id"":""0.0-243.0""}"
